Event,Year,Rider,Position,Cap/Bib,Class,Days,Hours,Minutes,Result,Bike,Data Source,Category,Finish Location,Notes,Slug
BikingMan: Taiwan,2018,Marcel Esser,2,,Solo,2,17,48,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Sofiane Sehili,3,,Solo,2,21,30,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Marcus Leach,4,,Solo,2,22,30,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Rodrigue Lombard,5,,Solo,3,8,3,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Xavier Massart,6,,Solo,3,8,27,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Romain Level / Simon Noel,1,,Pair,3,9,30,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Simon Noel,1,,Pair,3,9,30,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Niel Copeland,7,,Solo,3,10,27,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Johannes Eckstein,8,,Solo,3,16,20,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Jacques Barge,9,,Solo,3,17,48,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Vytenis Aleliunas,10,,Solo,3,17,55,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Robbie Ferri,11,,Solo,3,18,36,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Gavin Scott,12,,Solo,3,20,52,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Mohamed Al Chandoubi,2,,Pair,3,23,0,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Hatem Al Booshri,2,,Pair,3,23,0,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Shannon Turner,13,,Solo,4,5,48,Finished,Traditional/Geared,Website,Women,,,bikingman-taiwan
BikingMan: Taiwan,2018,Edmond Menzies,14,,Solo,4,6,28,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Jean Michel Monot,15,,Solo,4,8,40,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Reinhard Mink,3,,Pair,4,9,4,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Anne Wursthorn,3,,Pair,4,9,4,Finished,Traditional/Geared,Website,Women,,,bikingman-taiwan
BikingMan: Taiwan,2018,Robert Packham,16,,Solo,4,9,37,Finished,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Perrine Fages,17,,Solo,4,23,32,Finished,Traditional/Geared,Website,Women,,,bikingman-taiwan
BikingMan: Taiwan,2018,Chris Cameron,,,Solo,5,13,43,Relegated,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Jonathan Poo,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Christophe Iliou,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,bikingman-taiwan
BikingMan: Taiwan,2018,Kerry Scott,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,bikingman-taiwan
BikingMan: Taiwan,2018,Renette Raynor,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,bikingman-taiwan
Bohemia Divide,2018,Miroslav Franěk,1,54,,2,21,45,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Ondra Loup,2,9,,3,0,45,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Dan Klimeš,3,41,,3,1,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Standa Valdman,3,51,,3,1,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Olaf Haensch,5,36,,3,4,31,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Bert Platzer,5,49,,3,4,31,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jakub Jágl,7,47,,3,4,50,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Michal Hons,8,28,,3,5,50,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Václav Waldmann,9,11,,3,8,10,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Karel Vostracký,10,24,,3,9,40,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Aleksander Pachulski,11,46,,3,10,20,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Leszek Pachulski,11,45,,3,10,20,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Martin Chmátal,13,42,,3,14,46,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Antonín Koutský,13,53,,3,14,46,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Peter Krajčovič,13,25,,3,14,46,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jiří Mohout,16,2,,3,14,53,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Tomáš Novotný,17,59,,3,17,7,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Petr Šifta,17,27,,3,17,7,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Martin Černý,19,58,,3,21,45,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Maj Pavček,20,43,,3,22,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jan Mejdr,21,16,,3,23,55,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Vojtěch Šprongl,21,15,,3,23,55,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Václav Mixan,23,21,,4,1,40,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Zdeněk Sedláček,23,13,,4,1,40,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,David Voříšek,25,39,,4,5,45,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Miroslav Vysušil,26,31,,4,9,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Brendan Bignell,27,20,,4,12,40,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Tomáš Saňa,28,34,,4,13,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jitka Válová,28,10,,4,13,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Ondřej Sopůšek,30,22,,4,22,50,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Marek Košťál,31,1,,5,1,17,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Petr Bašus,32,18,,5,4,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Martin Forejt,32,17,,5,4,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Viktor Slavík,32,14,,5,4,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,David Legát,35,5,,5,6,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jan Černý,36,7,,6,2,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jan Pelnář,36,3,,6,2,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Martin Šimko,36,6,,6,2,0,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Dalibor Gut,39,19,,6,9,30,Finish,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Josef Grunt,,37,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jan Pondělíček,,38,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Helmut Wagner,,44,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Josef Svatoň,,8,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Petr Hanyš,,26,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Jiří Boubín,,32,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Rastislav Žbodák,,55,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Kryštof Hlůže,,50,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Josef Vaner,,30,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Bohemia Divide,2018,Karel Kašpar,,12,,,,,DNF,,bohemiadivide.wixsite.com,Men,,,bohemia-divide
Colorado Trail Race (CTR),2017,Seth Michael,1,,Solo,5,5,40,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Greg Lewis,2,,Solo,5,16,18,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Justin Dubois,3,,Solo,6,7,0,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,John Griffiths,4,,Solo,6,9,37,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Chris Kampsnider,5,,Solo,6,9,40,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Garrett Alexander,6,,Solo,6,14,35,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Craig Fowler,7,,Solo,7,12,55,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Brett Stepanik,8,,Solo,7,12,58,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Dave Staffel,9,,Solo,7,13,29,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Nick Gould,10,,Solo,8,9,43,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Bill Shand,11,,Solo,8,10,1,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Ryan King,12,,Solo,8,10,37,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Will Scheel,13,,Solo,8,15,57,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Meghan Newlin,14,,Solo,8,16,27,Finished,Traditional/Geared,Website,Women,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Rob Adams,15,,Solo,9,14,3,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Drew Huemmler,16,,Solo,9,16,1,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Ben Salthouse,17,,Solo,9,18,39,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,John Schilling,18,,Solo,12,16,22,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2017,Pat Adrian,,,ITT,8,15,54,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Jefe Branham,1,,Solo,4,17,33,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Ben Parman,2,,Solo,4,21,49,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Ryan Franz,3,,Solo,5,5,50,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Aaron Denberg,4,,Solo,5,14,41,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Garrett Alexander,5,,Solo,5,18,9,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Aaron Johnson,6,,Solo,5,20,7,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Robin Schwartz,7,,Solo,5,23,55,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Joe Sweeney,8,,Solo,6,8,46,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Denny Newell,9,,Solo,6,10,44,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Justin Simpson,10,,Solo,6,11,45,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Tom Kavanaugh,11,,Solo,6,11,45,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Kyle Quinn,12,,Solo,6,12,9,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Paul Spencer,13,,Solo,6,21,37,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Adam Marcinkiewicz,14,,Solo,6,21,41,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Matt Quinn,15,,Solo,6,22,5,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Paul Kruger,16,,Solo,6,22,16,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Barry Ritchey,17,,Solo,6,22,40,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Rob Conklin,18,,Solo,6,22,41,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Scott Sidener,19,,Solo,7,0,31,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Riley Barclay,20,,Solo,7,5,58,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Graham Lierley,21,,Solo,7,15,26,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,David Goldberg,22,,Solo,7,18,7,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Jessica Lobeck,23,,Solo,8,16,31,Finished,Traditional/Geared,Website,Women,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Alyssum Cohen,24,,Solo,8,19,57,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Heather Rose,25,,Solo,9,10,19,Finished,Traditional/Geared,Website,Women,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Richard Sigouin,26,,Solo,9,15,12,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Ian MacNab,27,,Solo,10,11,44,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Michael Reuter,28,,Solo,11,9,2,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Dave Kirk,29,,Solo,11,15,0,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Neil Beltchenko,,,ITT,3,19,50,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Josia Morgan,,,ITT,5,16,12,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Dom DeMaio,,,ITT,7,10,58,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Spencer Skerget,,,ITT,7,21,40,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Erin Carroll,,,ITT,8,59,59,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2016,Tom Hoppe,,,ITT,7,1,36,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jesse Jakomait,1,,Solo,3,20,44,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Matt Schiff,2,,Solo,4,4,42,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jefe Branham,3,,Solo,4,10,40,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Sam Harney,4,,Solo,5,4,9,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Aaron Denberg,5,,Solo,5,5,1,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Joe Grant,6,,Solo,5,7,31,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Sam Koerber,7,,Solo,5,8,21,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Alexander Lussier,8,,Solo,5,8,24,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jay Petervary,9,,Solo,5,10,45,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Martin Dreyer,1,,Pair,5,15,36,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jeannie Dreyer,1,,Pair,5,15,36,Finished,Traditional/Geared,Website,Women,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Montana Miller,10,,Solo,5,16,28,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Chaz Dimarzio,11,,Solo,5,16,53,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Dylan Taylor,12,,Solo,5,17,23,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Andrew Carney,13,,Solo,5,17,23,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Nick Patzer,14,,Solo,6,7,48,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Brad Kee,15,,Solo,6,8,21,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Kurt Ireland,16,,Solo,6,8,23,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,John Greig,17,,Solo,6,10,57,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Justin Simpson,18,,Solo,6,11,10,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jeff Rank,19,,Solo,6,15,52,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Alice Drobna,20,,Solo,6,18,59,Finished,Traditional/Geared,Website,Women,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Robert Orr,21,,Solo,6,20,37,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Adam Marcinkiewicz,22,,Solo,7,0,28,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Felipe Borja,23,,Solo,7,11,19,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Daniel Hockenberger,24,,Solo,7,12,31,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Robert Maye,25,,Solo,7,12,35,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Mick Lester,26,,Solo,7,17,30,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Jens MacAller,27,,Solo,7,23,3,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Mark Caminiti,28,,Solo,8,18,42,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Don Jagel,29,,Solo,9,4,48,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,John Fairbairn,30,,Solo,9,14,58,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Will Ritchie,31,,Solo,12,12,19,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2015,Roland Sturm,32,,Solo,13,0,0,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Neil Beltchenko,1,,Solo,4,9,55,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Tim Lutz,2,,Solo,5,11,14,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Christian McCarthy,3,,Solo,5,11,50,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Bryan Klahn,4,,Solo,6,0,9,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Dave Stewart,5,,Solo,6,7,5,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Garrett Alexander,6,,Solo,6,12,??,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Robert Orr,7,,Solo,6,13,27,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Chris Kampsnider,8,,Solo,6,14,12,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Rick Miller,9,,Solo,6,22,56,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Mark Caminiti,10,,Solo,8,8,56,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Cullen Barker,11,,Solo,8,15,29,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Norb DeKerchove,12,,Solo,9,11,8,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Jeffrey Taylor,13,,Solo,10,12,48,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Rich Mattson,1,,Pair,11,12,0,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Jim Reed,1,,Pair,11,12,0,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2014,Jim Leikert,,,ITT,12,9,59,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Jefe Branham,1,,Solo,4,4,17,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Jesse Jakomait,2,,Solo,4,5,13,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Matt Schiff,3,,Solo,4,9,50,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Jerry Oliver,4,,Solo,4,17,38,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Travis Wildeboer,1,,Pair,4,21,30,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Neil Beltchenko,1,,Pair,4,21,30,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Max Morris,5,,Solo,5,1,10,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Paul Spencer,6,,Solo,5,12,41,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Ryan Franz,7,,Solo,5,14,22,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Pete Basinger,8,,Solo,5,15,59,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Ben Gannon,9,,Solo,5,17,22,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Aaron Johnson,10,,Solo,5,19,5,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Pete Schuster,1,,Triple,5,21,36,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Todd Johnson,1,,Triple,5,21,36,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Jeff Spencer,1,,Triple,5,21,36,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Brady Robinson,2,,Pair,6,3,42,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Nate Stewart,2,,Pair,6,3,42,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Brad Kee,11,,Solo,6,4,5,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
Colorado Trail Race (CTR),2013,Matt Fusco,12,,Solo,6,4,12,Finished,Traditional/Geared,Website,Men,,,colorado-trail-race-ctr
